"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R13B","R0603","-1900.535mil","1579mil","-1900.535mil","1579mil","-1929.504mil","1579mil","T","360.00","Template - Resistor"
"R13C","R0603","2215.354mil","843.465mil","2215.354mil","843.465mil","2215.354mil","814.497mil","T","90.00","Template - Resistor"
"R13D","R0603","1639mil","843.465mil","1639mil","843.465mil","1639mil","814.496mil","T","90.00","Template - Resistor"
"R18","R0603","-440mil","-1400mil","-440mil","-1400mil","-411.031mil","-1400mil","T","180.00","100R 0603 1%"
"R19","R0603","-440mil","-1300mil","-440mil","-1300mil","-411.031mil","-1300mil","T","180.00","100R 0603 1%"
"TP1","SMT_Test_Clip","-580mil","-319.999mil","-580mil","-320mil","-580mil","-319.999mil","T","90.00","Test Clip"
"TP2","SMT_Test_Clip","-570mil","-1399.999mil","-570mil","-1400mil","-570mil","-1399.999mil","T","90.00","Test Clip"
"TP3","SMT_Test_Clip","-570mil","-1299.999mil","-570mil","-1300mil","-570mil","-1299.999mil","T","90.00","Test Clip"
"TP4A","SMT_Test_Clip","2285.155mil","-303.15mil","2285.154mil","-303.15mil","2285.155mil","-303.15mil","T","360.00","Test Clip"
"TP4B","SMT_Test_Clip","-2022.246mil","800mil","-2022.247mil","800mil","-2022.246mil","800mil","T","0.00","Test Clip"
"Transformer1","TRANSFORMER","-21811.733mil","-24801.001mil","-200mil","4420mil","-21811.733mil","-24801.001mil","T","90.00","Transformer"
"U1","TQFP-64_0.5MM_BREAKOUT_BOARD","0mil","-1250mil","300mil","300mil","300mil","300mil","T","180.00","PIC24FJ256GA106 Microprocessor"
"U2","SOIC-8_(3.9MM)","560mil","950mil","560mil","950mil","462.953mil","1025mil","T","270.00","Dual High Side Current Sense Amplifier"
"U3A","SOT23-5","2197.402mil","-163.15mil","2197.402mil","-163.15mil","2160mil","-216.299mil","T","0.00","Single XOR Logic Gate"
"U3B","SOT23-5","-2110mil","940mil","-2110mil","940mil","-2147.402mil","886.85mil","T","0.00","Single XOR Logic Gate"
"U4A","SOT23-5","2287.402mil","-443.15mil","2287.402mil","-443.15mil","2250mil","-496.299mil","T","0.00","Single AND Logic Gate"
"U4B","SOT23-5","-2020mil","660mil","-2020mil","660mil","-2057.402mil","606.85mil","T","0.00","Single AND Logic Gate"
"U6A","SOIC-8","-2211.535mil","1881mil","-2211.535mil","1881mil","-2119.409mil","1806mil","T","90.00","H-Bridge Driver"
"U6B","SOIC-8","-2194mil","1504mil","-2194mil","1504mil","-2101.874mil","1429mil","T","90.00","H-Bridge Driver"
"U6C","SOIC-8","2300mil","590mil","2300mil","590mil","2375mil","682.126mil","T","180.00","H-Bridge Driver"
"U6D","SOIC-8","1720mil","590mil","1720mil","590mil","1795mil","682.126mil","T","180.00","H-Bridge Driver"
"U5","SOT223","-2531mil","235mil","-2528.5mil","235.001mil","-2652mil","325mil","T","270.00","3.3V Linear Voltage Regulator LDO"
"C13A","Capacitor_-_0603_Ceramic","-2208mil","2043mil","-2208mil","2043mil","-2241.465mil","2043mil","T","360.00","1uF 0603 25V"
"C13B","Capacitor_-_0603_Ceramic","-2195mil","1661mil","-2195mil","1661mil","-2228.465mil","1661mil","T","360.00","1uF 0603 25V"
"C13C","Capacitor_-_0603_Ceramic","2135.354mil","550.001mil","2135.354mil","550.001mil","2135.354mil","516.536mil","T","90.00","1uF 0603 25V"
"C13D","Capacitor_-_0603_Ceramic","1559mil","550mil","1559mil","550mil","1559mil","516.535mil","T","90.00","1uF 0603 25V"
"J3","TE_796739-2","-2000mil","2680mil","-2000mil","2680mil","-2187.402mil","2680mil","T","360.00","Terminal Block - 2-Position HiV/HiA"
"J6","TE_796739-2","2000mil","2680mil","2000mil","2680mil","1812.598mil","2680mil","T","360.00","Terminal Block - 2-Position HiV/HiA"
"J8","TE_796739-2","-220mil","2560mil","-220mil","2560mil","-220mil","2747.402mil","T","270.00","Terminal Block - 2-Position HiV/HiA"
"J7","TE_796739-2","-220mil","1810.394mil","-220mil","1810.394mil","-220mil","1997.795mil","T","270.00","Terminal Block - 2-Position HiV/HiA"
"R16A","R0603","730mil","-1778mil","730mil","-1778mil","701.032mil","-1778mil","T","360.00","Template - Resistor"
"R16B","R0603","730mil","-2000mil","730mil","-2000mil","701.032mil","-2000mil","T","360.00","Template - Resistor"
"R16C","R0603","730mil","-1560mil","730mil","-1560mil","701.032mil","-1560mil","T","360.00","Template - Resistor"
"R16D","R0603","730mil","-1110mil","730mil","-1110mil","701.032mil","-1110mil","T","360.00","Template - Resistor"
"R16E","R0603","730mil","-1340mil","730mil","-1340mil","701.032mil","-1340mil","T","360.00","Template - Resistor"
"R17A","R0603","730mil","-1878mil","730mil","-1878mil","758.968mil","-1878mil","T","180.00","Template - Resistor"
"R17B","R0603","730mil","-2100mil","730mil","-2100mil","758.968mil","-2100mil","T","180.00","Template - Resistor"
"R17C","R0603","730mil","-1650mil","730mil","-1650mil","758.968mil","-1650mil","T","180.00","Template - Resistor"
"R17D","R0603","730mil","-1210mil","730mil","-1210mil","758.968mil","-1210mil","T","180.00","Template - Resistor"
"R17E","R0603","730mil","-1430mil","730mil","-1430mil","758.968mil","-1430mil","T","180.00","Template - Resistor"
"RT1A","CONNECTOR_-_MTA-100_2_POSITION_FRICTION_LOCK","953.501mil","-1828mil","953.5mil","-1828mil","953.501mil","-1778mil","T","90.00","T�"
"RT1B","CONNECTOR_-_MTA-100_2_POSITION_FRICTION_LOCK","953.501mil","-2051mil","953.5mil","-2051mil","953.501mil","-2001mil","T","90.00","T�"
"RT1C","CONNECTOR_-_MTA-100_2_POSITION_FRICTION_LOCK","953.501mil","-1605mil","953.5mil","-1605mil","953.501mil","-1555mil","T","90.00","T�"
"RT1D","CONNECTOR_-_MTA-100_2_POSITION_FRICTION_LOCK","953.501mil","-1159mil","953.5mil","-1159mil","953.501mil","-1109mil","T","90.00","T�"
"RT1E","CONNECTOR_-_MTA-100_2_POSITION_FRICTION_LOCK","953.501mil","-1382mil","953.5mil","-1382mil","953.501mil","-1332mil","T","90.00","T�"

